Date Rptd,DR NO,DATE OCC,TIME OCC,AREA,AREA NAME,RD,Crm Cd,Crm Cd Desc,Status,Status Desc,LOCATION,Cross Street,Location 1
05/28/2014,141111001,05/17/2014,1930,11,Northeast,1149,480,BIKE - STOLEN,IC,Invest Cont,  100      N  AVENUE 52,,"(34.1063, -118.1995)"
05/23/2014,140113039,05/16/2014,1100,01,Central,0152,480,BIKE - STOLEN,IC,Invest Cont,  700         WILSHIRE                     BL,,"(34.0487, -118.2571)"
05/17/2014,140709130,05/16/2014,1000,07,Wilshire,0719,480,BIKE - STOLEN,IC,Invest Cont,  600      N  LARCHMONT                    BL,,"(34.0817, -118.3237)"
05/18/2014,140709168,05/16/2014,1450,07,Wilshire,0734,480,BIKE - STOLEN,IC,Invest Cont,              3RD                          ST,   FAIRFAX                      AV,"(34.0715, -118.3604)"
05/15/2014,140112557,05/15/2014,1745,01,Central,0111,480,BIKE - STOLEN,IC,Invest Cont,  600      N  MAIN                         ST,,"(34.0565, -118.2395)"
05/27/2014,140312581,05/15/2014,0800,03,Southwest,0328,480,BIKE - STOLEN,IC,Invest Cont, 3000         ROYAL                        ST,,"(34.0263, -118.2808)"
05/20/2014,140600820,05/15/2014,1012,06,Hollywood,0645,480,BIKE - STOLEN,IC,Invest Cont, 7000         LANEWOOD                     AV,,"(34.0992, -118.3414)"
05/16/2014,141510991,05/15/2014,2130,15,N Hollywood,1549,480,BIKE - STOLEN,IC,Invest Cont, 5400         TUJUNGA                      AV,,"(34.1689, -118.379)"
05/15/2014,141709961,05/15/2014,0045,17,Devonshire,1768,480,BIKE - STOLEN,IC,Invest Cont,17200         HALSTED                      ST,,"(34.2449, -118.509)"
05/15/2014,140112498,05/14/2014,2100,01,Central,0154,480,BIKE - STOLEN,IC,Invest Cont,              6TH                          ST,   LOS ANGELES,"(34.0458, -118.2507)"
05/23/2014,140612252,05/14/2014,1200,06,Hollywood,0638,480,BIKE - STOLEN,IC,Invest Cont, 1800      N  VAN NESS                     AV,,"(34.1038, -118.3158)"
06/04/2014,140113819,05/13/2014,1200,01,Central,0163,480,BIKE - STOLEN,IC,Invest Cont,              9TH                          ST,   MAIN                         ST,"(34.0429, -118.2569)"
05/13/2014,141510860,05/13/2014,1550,15,N Hollywood,1549,480,BIKE - STOLEN,IC,Invest Cont, 5400         FAIR                         AV,,"(34.1685, -118.3743)"
05/12/2014,140611464,05/12/2014,0900,06,Hollywood,0644,480,BIKE - STOLEN,IC,Invest Cont, 1400      N  FULLER                       AV,,"(34.0962, -118.3496)"
05/13/2014,140708986,05/12/2014,1900,07,Wilshire,0717,480,BIKE - STOLEN,IC,Invest Cont,  400      N  LAS PALMAS                   AV,,"(34.0783, -118.3358)"
05/11/2014,140112319,05/11/2014,1730,01,Central,0152,480,BIKE - STOLEN,IC,Invest Cont,  500      W  7TH                          ST,,"(34.0467, -118.2556)"
05/13/2014,141511258,05/11/2014,1100,15,N Hollywood,1548,480,BIKE - STOLEN,IC,Invest Cont, 5200         SATSUMA                      AV,,"(34.1649, -118.3675)"
05/10/2014,140112291,05/10/2014,1535,01,Central,0164,480,BIKE - STOLEN,IC,Invest Cont,  100      E  6TH                          ST,,"(34.0453, -118.2499)"
05/11/2014,140112303,05/10/2014,0900,01,Central,0132,480,BIKE - STOLEN,IC,Invest Cont,  200      S  FIGUEROA                     ST,,"(34.0566, -118.2531)"
05/10/2014,142009935,05/10/2014,1145,20,Olympic,2019,480,BIKE - STOLEN,IC,Invest Cont, 3400      W  3RD                          ST,,"(34.0691, -118.2894)"
05/09/2014,140112250,05/09/2014,1130,01,Central,0139,480,BIKE - STOLEN,IC,Invest Cont,  800      E  3RD                          ST,,"(34.0457, -118.2364)"
05/09/2014,140112292,05/09/2014,1700,01,Central,0109,480,BIKE - STOLEN,IC,Invest Cont,              BROADWAY,   ELYSIAN PARK,"(34.0717, -118.2273)"
05/10/2014,141110192,05/09/2014,1830,11,Northeast,1184,480,BIKE - STOLEN,IC,Invest Cont, 1600         MORTON                       AV,,"(34.0814, -118.2541)"
05/09/2014,141709617,05/09/2014,1945,17,Devonshire,1762,480,BIKE - STOLEN,IC,Invest Cont,21000         PLUMMER                      ST,,"(34.2427, -118.5907)"
05/23/2014,142010634,05/09/2014,0900,20,Olympic,2015,480,BIKE - STOLEN,IC,Invest Cont,  100      N  KENMORE                      AV,,"(34.0728, -118.2965)"
05/08/2014,140210576,05/07/2014,0100,02,Rampart,0236,480,BIKE - STOLEN,IC,Invest Cont,  100      N  MOUNTAIN VIEW                AV,,"(34.0663, -118.2694)"
05/09/2014,140311489,05/07/2014,1700,03,Southwest,0363,480,BIKE - STOLEN,IC,Invest Cont, 4100         CRENSHAW                     BL,,"(34.0102, -118.3351)"
05/12/2014,140611466,05/07/2014,1400,06,Hollywood,0643,480,BIKE - STOLEN,IC,Invest Cont, 1600      N  POINSETTIA                   PL,,"(34.0998, -118.3479)"
05/16/2014,141311424,05/07/2014,0300,13,Newton,1321,480,BIKE - STOLEN,IC,Invest Cont,  500      W  23RD                         ST,,"(34.0302, -118.273)"
05/07/2014,141110023,05/06/2014,2100,11,Northeast,1171,480,BIKE - STOLEN,IC,Invest Cont,              SUNSET,   MALTMAN,"(34.0899, -118.277)"
05/06/2014,141608526,05/06/2014,1000,16,Foothill,1617,480,BIKE - STOLEN,IC,Invest Cont,10600         SHERMAN GROVE                AV,,"(34.2615, -118.3197)"
05/07/2014,140611220,05/05/2014,0830,06,Hollywood,0665,480,BIKE - STOLEN,IC,Invest Cont, 1100      N  CITRUS                       AV,,"(34.0907, -118.3398)"
05/07/2014,141510591,05/05/2014,1200,15,N Hollywood,1583,480,BIKE - STOLEN,AA,Adult Arrest, 4200         AGNES                        AV,,"(34.1469, -118.3954)"
05/05/2014,142009711,05/05/2014,0200,20,Olympic,2071,480,BIKE - STOLEN,IC,Invest Cont, 1500      S  GRAMERCY                     PL,,"(34.0454, -118.313)"
05/04/2014,140111917,05/04/2014,1600,01,Central,0128,480,BIKE - STOLEN,IC,Invest Cont,              2ND                          ST,   CENTRAL,"(34.0498, -118.2426)"
05/04/2014,140111918,05/04/2014,0950,01,Central,0152,480,BIKE - STOLEN,IC,Invest Cont,  600      S  GRAND                        AV,,"(34.0488, -118.2553)"
